ticker,fs_method,top_k,n_past,activation,MAE,RMSE,MAPE,n_features,features
AAPL,manual,3,10,tanh,0.01089911686974039,0.015497746713828914,101.05195224039207,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,10,relu,0.010624577200228209,0.01542560117321978,105.65904235486995,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,10,selu,0.010793981283602764,0.015319626312350041,101.32493259144309,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,20,tanh,0.010913756808270924,0.01548656617927728,104.8129510248815,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,20,relu,0.010813232403772396,0.015355731120487583,116.35857024019984,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,20,selu,0.010491171190170871,0.015114803577143066,125.50083866697499,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,40,tanh,0.010711532891112003,0.015210765856313256,107.90839977192906,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,40,relu,0.01076362312422815,0.015271792136453136,104.95845219379227,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,40,selu,0.010815220779126144,0.015420244289487777,94.38007539508838,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,60,tanh,0.010863231385879853,0.015494097753651584,104.56108643702187,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,60,relu,0.01245933372668451,0.017072187127054658,288.86525923126777,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,60,selu,0.010725387722307207,0.015243602646945858,106.7854406569643,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,corr,3,10,tanh,0.010508568089049188,0.015114700572295522,107.50029173971927,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,10,relu,0.011719494898428252,0.015789791308795265,182.65250873890054,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,10,selu,0.0109318441137246,0.015107852371386916,124.40712686743242,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,20,tanh,0.010760765138004447,0.015184376689342884,120.7681631295695,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,20,relu,0.01049880726355413,0.0149593320104668,131.2196148494176,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,20,selu,0.010995518914058639,0.01528830312921711,121.92287667581867,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,40,tanh,0.010683952162638484,0.015178806875273069,120.39921105243306,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,40,relu,0.013740912730002502,0.01731672202605623,326.53691436179633,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,40,selu,0.01067656615574404,0.015523378500401242,120.6596446161403,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,60,tanh,0.010858830573897492,0.015333559194344206,94.11755850244677,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,60,relu,0.011372132191393018,0.01597011987443631,135.23903585539423,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,60,selu,0.01078741747163744,0.015175538701295944,135.1196170904393,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,5,10,tanh,0.010776304793246535,0.015296697442551934,132.8690606189616,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,10,relu,0.010781434923227909,0.015634888085116552,142.24371974942537,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,10,selu,0.010662553829112985,0.015216736788024588,107.17140028210392,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,20,tanh,0.010831304369887,0.01548670669327203,98.12453823608145,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,20,relu,0.010723322428682385,0.015288515434234002,101.74447113998264,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,20,selu,0.010526164354650577,0.015462916421197511,112.1701890021941,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,40,tanh,0.010930710555976664,0.015385397708443662,102.35919807144882,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,40,relu,0.011263381270971505,0.015715581828424495,115.36713483668012,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,40,selu,0.010675808873443804,0.015278815117996293,129.84204052016392,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,60,tanh,0.01072429298160375,0.015141364287999347,116.64658612571512,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,60,relu,0.010677153782347801,0.01529681315361267,132.05926487169967,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,60,selu,0.01150593305435404,0.015766472931014446,161.2168915436079,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,10,10,tanh,0.01126820183779674,0.01565054149994607,136.84121967282636,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
