ticker,fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE,n_features,features
AAPL,manual,3,10,tanh,0.0,0.003932331944095369,0.003932331944095369,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,10,relu,0.0,0.003857995755250032,0.003857995755250032,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,10,selu,1.0,0.002517241432367756,0.002517241432367756,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,20,tanh,0.0,0.005196435865225668,0.005196435865225668,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,20,relu,1.0,0.0012289595098919914,0.0012289595098919914,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,20,selu,0.0,0.003945544035384829,0.003945544035384829,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,40,tanh,0.0,0.004987422865095015,0.004987422865095015,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,40,relu,0.0,0.0035214028546832754,0.0035214028546832754,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,40,selu,0.0,0.003312338631811018,0.003312338631811018,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,60,tanh,0.0,0.002707014828781995,0.002707014828781995,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,60,relu,0.0,0.002672329480272184,0.002672329480272184,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,manual,3,60,selu,0.0,0.003241598395841594,0.003241598395841594,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
AAPL,corr,3,10,tanh,1.0,0.002435967536432271,0.002435967536432271,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,10,relu,0.0,0.0027437068936777553,0.0027437068936777553,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,10,selu,0.0,0.009862179657655235,0.009862179657655235,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,20,tanh,0.0,0.003427651325917269,0.003427651325917269,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,20,relu,0.0,0.003652644715482767,0.003652644715482767,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,20,selu,1.0,0.0003915699424468233,0.0003915699424468233,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,40,tanh,0.0,0.0045487806426607325,0.0045487806426607325,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,40,relu,1.0,0.011865424202544217,0.011865424202544217,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,40,selu,1.0,0.0024856760072069495,0.0024856760072069495,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,60,tanh,1.0,0.0025598194690175102,0.0025598194690175102,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,60,relu,1.0,0.0019410295870401217,0.0019410295870401217,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,3,60,selu,0.0,0.002832031496662113,0.002832031496662113,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14']"
AAPL,corr,5,10,tanh,0.0,0.0031137987032778813,0.0031137987032778813,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,10,relu,0.0,0.0031854983761221423,0.0031854983761221423,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,10,selu,0.0,0.002891881297553356,0.002891881297553356,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,20,tanh,1.0,0.0010756000185139225,0.0010756000185139225,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,20,relu,0.0,0.0059506297337137415,0.0059506297337137415,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,20,selu,1.0,0.0020185003748409702,0.0020185003748409702,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,40,tanh,1.0,0.0015751027742154644,0.0015751027742154644,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,40,relu,0.0,0.0063616833875201895,0.0063616833875201895,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,40,selu,1.0,0.00030448075921607476,0.00030448075921607476,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,60,tanh,1.0,0.002233496802371393,0.002233496802371393,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,60,relu,0.0,0.0077145879848175,0.0077145879848175,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,5,60,selu,1.0,0.0023909284580512224,0.0023909284580512224,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)']"
AAPL,corr,10,10,tanh,0.0,0.005322096891912098,0.005322096891912098,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,10,relu,1.0,0.0025848837256561286,0.0025848837256561286,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,10,selu,1.0,0.001958743413699393,0.001958743413699393,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,20,tanh,1.0,0.0006578034015618517,0.0006578034015618517,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,20,relu,1.0,0.002395820724639508,0.002395820724639508,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,20,selu,0.0,0.004280247398863013,0.004280247398863013,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,40,tanh,0.0,0.003548962203065331,0.003548962203065331,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,40,relu,0.0,0.0027670330826439216,0.0027670330826439216,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,40,selu,1.0,8.367651679885846e-05,8.367651679885846e-05,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,60,tanh,1.0,0.0020033840781323864,0.0020033840781323864,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
AAPL,corr,10,60,relu,1.0,0.00153570084438992,0.00153570084438992,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'ADI', '%K_14', 'RSI_14', 'MACD(12,26,9)', '%D', 'pe', 'evebitda_x', 'pb', 'evebit_x']"
