fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
mi,3,10,selu,0.875,0.0022372619004361605,0.0022372619004361605
rf,5,10,selu,0.875,0.004140465675321114,0.004140465675321114
corr,5,40,tanh,0.875,0.004605957497833324,0.004605957497833324
corr,5,20,selu,0.875,0.004610351279392466,0.004610351279392466
rf,10,10,selu,0.875,0.005236475280707253,0.005236475280707253
mi,3,60,selu,0.875,0.005348457099987769,0.005348457099987769
corr,10,40,tanh,0.875,0.005582436948811553,0.005582436948811553
rf,10,20,relu,0.875,0.006595609130030156,0.006595609130030156
rf,3,40,selu,0.875,0.00743333773409538,0.00743333773409538
corr,5,40,relu,0.75,0.003906507752728161,0.003906507752728161
rf,3,20,tanh,0.75,0.004425258802884358,0.004425258802884358
corr,3,10,relu,0.75,0.004692186109770069,0.004692186109770069
corr,3,20,relu,0.75,0.004739997821367692,0.004739997821367692
mi,10,40,relu,0.75,0.004804104553965294,0.004804104553965294
rf,3,10,relu,0.75,0.004827500223148262,0.004827500223148262
mi,3,40,tanh,0.75,0.0053754647281412105,0.0053754647281412105
corr,10,60,tanh,0.75,0.005590333880618137,0.005590333880618137
mi,5,20,selu,0.75,0.005604084887222305,0.005604084887222305
mi,3,20,tanh,0.75,0.005628904867908013,0.005628904867908013
corr,5,10,tanh,0.75,0.005978002174460428,0.005978002174460428
rf,10,60,selu,0.75,0.006044763927061936,0.006044763927061936
rf,3,60,tanh,0.75,0.006074343040108232,0.006074343040108232
rf,10,40,tanh,0.75,0.006076374633896042,0.006076374633896042
manual,3,20,selu,0.75,0.0061323127489862905,0.0061323127489862905
mi,5,10,selu,0.75,0.0064355969277034575,0.0064355969277034575
corr,3,10,tanh,0.75,0.006722127344276463,0.006722127344276463
corr,5,60,selu,0.75,0.0070687929292437834,0.0070687929292437834
rf,5,10,tanh,0.75,0.007189221741761065,0.007189221741761065
manual,3,60,tanh,0.75,0.007903408743251017,0.007903408743251017
mi,5,60,relu,0.625,0.0031257849191859144,0.0031257849191859144
rf,10,60,tanh,0.625,0.0046708981256511906,0.0046708981256511906
mi,5,10,tanh,0.625,0.004999150540872355,0.004999150540872355
manual,3,40,selu,0.625,0.00508216917776394,0.00508216917776394
rf,5,60,tanh,0.625,0.0051509172243595636,0.0051509172243595636
corr,10,20,relu,0.625,0.005211944223947218,0.005211944223947218
rf,5,40,tanh,0.625,0.005335665356406949,0.005335665356406949
rf,3,10,selu,0.625,0.005596232777436816,0.005596232777436816
rf,3,60,relu,0.625,0.005729838904398488,0.005729838904398488
corr,10,20,selu,0.625,0.005858605210179779,0.005858605210179779
mi,10,20,tanh,0.625,0.005989043031190078,0.005989043031190078
rf,5,40,selu,0.625,0.00605425607290222,0.00605425607290222
rf,10,20,selu,0.625,0.006103628436808339,0.006103628436808339
rf,5,20,relu,0.625,0.006210748162145174,0.006210748162145174
rf,10,10,relu,0.625,0.006348947167277685,0.006348947167277685
mi,10,60,tanh,0.625,0.006350271452257417,0.006350271452257417
manual,3,10,tanh,0.625,0.006385204016759682,0.006385204016759682
rf,10,40,relu,0.625,0.006451027516314767,0.006451027516314767
rf,5,20,tanh,0.625,0.006690887548845836,0.006690887548845836
corr,10,60,selu,0.625,0.006741448874263922,0.006741448874263922
corr,10,10,tanh,0.625,0.006853960353478683,0.006853960353478683
mi,10,60,selu,0.625,0.006875353913793347,0.006875353913793347
mi,5,40,tanh,0.625,0.006891535378178826,0.006891535378178826
corr,10,20,tanh,0.625,0.006899120739159548,0.006899120739159548
corr,5,60,relu,0.625,0.00701533847401653,0.00701533847401653
corr,10,40,selu,0.625,0.007023029669942837,0.007023029669942837
mi,10,20,relu,0.625,0.007036336878756377,0.007036336878756377
