fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
rf,5,40,selu,0.8888888888888888,0.002611737887466825,0.002611737887466825
rf,10,20,selu,0.8888888888888888,0.002630147342604805,0.002630147342604805
rf,5,60,tanh,0.8888888888888888,0.0030399703700442204,0.0030399703700442204
mi,3,60,relu,0.8888888888888888,0.0032338734755434917,0.0032338734755434917
manual,3,40,tanh,0.8888888888888888,0.003927862875773291,0.003927862875773291
corr,10,10,selu,0.8888888888888888,0.0045616461204118774,0.0045616461204118774
mi,10,60,tanh,0.8888888888888888,0.004681775019182544,0.004681775019182544
rf,5,10,relu,0.8888888888888888,0.004933404055151636,0.004933404055151636
rf,5,60,relu,0.8888888888888888,0.006336016951738577,0.006336016951738577
rf,10,40,tanh,0.7777777777777778,0.0033546390040763985,0.0033546390040763985
rf,5,40,tanh,0.7777777777777778,0.003917662211421424,0.003917662211421424
mi,3,20,selu,0.7777777777777778,0.004122648526592831,0.004122648526592831
rf,3,20,tanh,0.7777777777777778,0.004326797228916268,0.004326797228916268
corr,10,20,tanh,0.7777777777777778,0.004670353796533577,0.004670353796533577
mi,5,20,tanh,0.7777777777777778,0.005079819139752084,0.005079819139752084
corr,3,10,tanh,0.7777777777777778,0.005088314138553374,0.005088314138553374
corr,5,10,selu,0.7777777777777778,0.0054767501569339405,0.0054767501569339405
corr,5,40,selu,0.7777777777777778,0.006319432541938896,0.006319432541938896
rf,3,40,tanh,0.7777777777777778,0.006685875546387665,0.006685875546387665
mi,3,60,tanh,0.7777777777777778,0.007120344046703808,0.007120344046703808
mi,3,40,selu,0.7777777777777778,0.007331082019730317,0.007331082019730317
corr,3,10,relu,0.7777777777777778,0.0076280588613604206,0.0076280588613604206
corr,5,60,relu,0.7777777777777778,0.009354037948611671,0.009354037948611671
corr,3,20,relu,0.6666666666666666,0.0034180188260111155,0.0034180188260111155
mi,3,20,tanh,0.6666666666666666,0.00413493569127521,0.00413493569127521
mi,10,60,selu,0.6666666666666666,0.004510254460708518,0.004510254460708518
rf,10,20,relu,0.6666666666666666,0.004514791726226486,0.004514791726226486
mi,10,20,selu,0.6666666666666666,0.0049275836946585105,0.0049275836946585105
rf,5,40,relu,0.6666666666666666,0.0050048723525437655,0.0050048723525437655
rf,3,40,relu,0.6666666666666666,0.00523734367921691,0.00523734367921691
mi,10,40,selu,0.6666666666666666,0.0052483050605791615,0.0052483050605791615
mi,5,60,selu,0.6666666666666666,0.005298384138061385,0.005298384138061385
corr,5,60,tanh,0.6666666666666666,0.005309681546552758,0.005309681546552758
rf,10,40,selu,0.6666666666666666,0.0053237379981714295,0.0053237379981714295
mi,10,40,tanh,0.6666666666666666,0.005387056227808107,0.005387056227808107
rf,10,20,tanh,0.6666666666666666,0.005665545955910067,0.005665545955910067
corr,5,20,relu,0.6666666666666666,0.005712828737362008,0.005712828737362008
corr,3,40,relu,0.6666666666666666,0.005883749648963321,0.005883749648963321
rf,10,10,tanh,0.6666666666666666,0.005887755331261735,0.005887755331261735
rf,5,20,relu,0.6666666666666666,0.005903376113042702,0.005903376113042702
mi,10,20,relu,0.6666666666666666,0.00609779161519608,0.00609779161519608
corr,10,20,relu,0.6666666666666666,0.006108559806509595,0.006108559806509595
mi,3,10,tanh,0.6666666666666666,0.006184646273256433,0.006184646273256433
mi,5,60,relu,0.6666666666666666,0.006465949831156559,0.006465949831156559
manual,3,10,tanh,0.6666666666666666,0.006553335771165125,0.006553335771165125
corr,10,20,selu,0.6666666666666666,0.0066750499128434004,0.0066750499128434004
manual,3,60,relu,0.6666666666666666,0.00672922081814753,0.00672922081814753
manual,3,10,relu,0.6666666666666666,0.006932402285026784,0.006932402285026784
rf,10,10,selu,0.6666666666666666,0.00715811010842704,0.00715811010842704
mi,10,40,relu,0.6666666666666666,0.007331815912642092,0.007331815912642092
corr,3,60,selu,0.6666666666666666,0.007472574034916635,0.007472574034916635
mi,5,20,selu,0.6666666666666666,0.007744726100971211,0.007744726100971211
corr,10,40,tanh,0.6666666666666666,0.008276492080742992,0.008276492080742992
manual,3,40,selu,0.6666666666666666,0.00829317405389296,0.00829317405389296
mi,10,10,tanh,0.6666666666666666,0.008617115397206776,0.008617115397206776
corr,5,40,tanh,0.5555555555555556,0.003448948868761237,0.003448948868761237
mi,10,60,relu,0.5555555555555556,0.0041347056025420326,0.0041347056025420326
rf,3,60,relu,0.5555555555555556,0.004308143653186436,0.004308143653186436
mi,3,10,relu,0.5555555555555556,0.004926681830898394,0.004926681830898394
corr,5,10,tanh,0.5555555555555556,0.005358920920851107,0.005358920920851107
mi,3,40,tanh,0.5555555555555556,0.005434771432795138,0.005434771432795138
manual,3,10,selu,0.5555555555555556,0.005435869723417364,0.005435869723417364
