fs_method,top_k,n_past,activation,RMSE,MAE,MAPE,DIR_ACC
mi,5,60,tanh,0.019207250095187537,0.013193512664712482,135.81584539028086,57.89473684210527
manual,3,40,selu,0.019284018591900876,0.012458049703585716,168.40972672884473,57.89473684210527
manual,3,20,tanh,0.01938606678310423,0.012172277420467526,146.6994689935834,57.89473684210527
corr,3,20,tanh,0.019450426010942427,0.012657121390967594,209.71856415002472,57.89473684210527
corr,5,60,tanh,0.019537371776810638,0.012380827055043342,132.07427741335735,57.89473684210527
rf,10,20,tanh,0.019598233160488546,0.012409783427000408,153.1682075162139,57.89473684210527
corr,10,20,selu,0.01976764436574344,0.012601357765423413,149.03121856065263,57.89473684210527
rf,5,10,tanh,0.01980095199369952,0.013884346585130582,162.0526478858754,57.89473684210527
rf,10,40,selu,0.020222735667388185,0.013769356027362756,171.19391532418467,57.89473684210527
rf,3,10,relu,0.021022604953781894,0.015970695818225678,145.68092442694382,57.89473684210527
rf,10,60,selu,0.02104032514959439,0.015124382537427641,178.4668753219261,57.89473684210527
mi,3,20,selu,0.021998145453240664,0.016334370719601796,157.25924996601344,57.89473684210527
mi,5,60,selu,0.019086387546001615,0.012657395500221012,152.50244933229467,55.26315789473685
manual,3,40,relu,0.01911113887628776,0.012374158212224193,154.6197681331355,55.26315789473685
rf,5,60,relu,0.019128466869855597,0.01309163045629018,253.2282873872007,55.26315789473685
mi,10,10,tanh,0.01918374817533573,0.013322132669962867,167.40919205249838,55.26315789473685
manual,3,10,selu,0.019220023482297354,0.012497100649014218,157.7924466611873,55.26315789473685
corr,10,40,tanh,0.01922385442514816,0.012322327079745364,186.29080422403595,55.26315789473685
rf,3,20,relu,0.01926038855923372,0.012395161448702764,151.22883023827302,55.26315789473685
corr,5,20,relu,0.019347545100223722,0.013403482139377062,191.2288517293307,55.26315789473685
manual,3,60,tanh,0.019350810773493505,0.012309450071572225,129.88546841731844,55.26315789473685
mi,10,40,tanh,0.019374867646823925,0.012643507436405913,150.7446099715661,55.26315789473685
mi,10,10,selu,0.019388098635704367,0.012617584751041145,165.40513705058757,55.26315789473685
mi,5,10,selu,0.019400999195748184,0.012608033459619007,133.9324610652362,55.26315789473685
rf,3,20,selu,0.01941433955858323,0.013897730384007878,183.90790273956176,55.26315789473685
corr,5,10,relu,0.019432222738717884,0.012350937090716444,162.49971417108378,55.26315789473685
rf,3,40,tanh,0.01943267235174764,0.012325150484123318,155.8330585176415,55.26315789473685
mi,10,20,tanh,0.019464449783923494,0.012553963691076406,172.16818590150723,55.26315789473685
manual,3,20,relu,0.019465523609131254,0.012270750017493814,150.75559942235657,55.26315789473685
mi,5,40,tanh,0.019485597010304202,0.013757024828305611,187.88901846143003,55.26315789473685
corr,3,40,selu,0.0195080887208554,0.012688575650804385,177.11186673925064,55.26315789473685
rf,3,10,tanh,0.019510431116158456,0.012413322537878298,142.28147289518745,55.26315789473685
rf,10,20,selu,0.01954372646214626,0.0128689677684733,199.31960757728712,55.26315789473685
rf,3,60,relu,0.019548162268308026,0.01291979606563492,160.97083434929752,55.26315789473685
manual,3,60,selu,0.0195530011209667,0.012155089657860295,139.12118994569562,55.26315789473685
corr,5,20,selu,0.019583314706865283,0.012030972211125535,148.08235310567898,55.26315789473685
corr,3,60,relu,0.0195834385435646,0.016048733478943318,212.93689579311655,55.26315789473685
rf,10,20,relu,0.019618477066160003,0.012317496432794494,218.24047729633708,55.26315789473685
manual,3,20,selu,0.019663952763862284,0.012314007781486216,143.20839457947983,55.26315789473685
corr,3,20,relu,0.019675194105695303,0.012656265164374916,209.91915535998,55.26315789473685
corr,10,20,tanh,0.019680719850548284,0.01280692256823004,128.4200918438373,55.26315789473685
mi,3,20,tanh,0.019735789583473058,0.012227280065933288,144.8221430469994,55.26315789473685
mi,3,10,selu,0.01973728023053086,0.012389246488827114,184.695418417872,55.26315789473685
rf,5,10,selu,0.01976267960462153,0.012321641794894264,152.78984859157057,55.26315789473685
mi,5,20,selu,0.01977105096822989,0.014497978794109646,198.178442532881,55.26315789473685
manual,3,10,tanh,0.01979843836501976,0.012369867222490493,148.04883381643486,55.26315789473685
rf,3,40,selu,0.01983765751656584,0.012380168076264254,136.14840059017578,55.26315789473685
mi,3,60,tanh,0.019848474181120724,0.012250181576035779,139.49234342911595,55.26315789473685
mi,10,10,relu,0.019955919600616594,0.014747703290261807,214.54148935050856,55.26315789473685
corr,3,10,relu,0.019972866703828033,0.012548212820821473,181.40223658727018,55.26315789473685
corr,3,20,selu,0.019991227104330513,0.01452602813213428,168.905745167518,55.26315789473685
corr,3,40,relu,0.020079740147062597,0.012751130219611545,167.345133353525,55.26315789473685
corr,5,40,relu,0.02046174382504692,0.014035322679331944,190.9592002546304,55.26315789473685
rf,10,40,tanh,0.02049896330044889,0.01417655596891539,193.32885941657494,55.26315789473685
mi,5,60,relu,0.02073890502093471,0.01338478389120849,159.71617620869688,55.26315789473685
mi,3,10,tanh,0.02075990285425248,0.013190844162663926,175.93625988669405,55.26315789473685
rf,3,10,selu,0.02079487327477849,0.013314991154827005,155.49320278641835,55.26315789473685
manual,3,60,relu,0.021047398976629553,0.01581188001220817,181.54225984570965,55.26315789473685
mi,3,40,relu,0.02105412677517811,0.015289410613965408,167.53173509972595,55.26315789473685
mi,10,60,tanh,0.021371553528874092,0.016089992172156238,242.75883940854132,55.26315789473685
mi,3,40,selu,0.021848488345696113,0.013977027666472975,161.98839809848263,55.26315789473685
rf,10,60,relu,0.022187007965033406,0.017953806318806182,198.74331126300888,55.26315789473685
mi,5,10,relu,0.022559759591781383,0.017783024937589882,230.19998084237946,55.26315789473685
mi,3,10,relu,0.02267358287666645,0.016558706045738343,233.07504254953426,55.26315789473685
corr,10,20,relu,0.023284158672331086,0.016105021321517986,215.55109260579565,55.26315789473685
mi,10,40,relu,0.023452815167480302,0.01883506724956602,186.03809277744332,55.26315789473685
rf,10,10,relu,0.025258715407466138,0.019777195190007636,160.59032426445754,55.26315789473685
corr,10,40,selu,0.018885786736991247,0.01293612067790758,151.55377213966602,52.63157894736842
