fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
corr,10,40,selu,1.0,8.367651679885846e-05,8.367651679885846e-05
mi,3,60,selu,1.0,0.0001259932534523056,0.0001259932534523056
mi,3,60,tanh,1.0,0.000143001344265814,0.000143001344265814
rf,10,40,relu,1.0,0.0002988781554378317,0.0002988781554378317
corr,5,40,selu,1.0,0.00030448075921607476,0.00030448075921607476
rf,3,40,selu,1.0,0.0003831475267432882,0.0003831475267432882
corr,3,20,selu,1.0,0.0003915699424468233,0.0003915699424468233
rf,5,60,relu,1.0,0.0006301049368702127,0.0006301049368702127
corr,10,20,tanh,1.0,0.0006578034015618517,0.0006578034015618517
corr,5,20,tanh,1.0,0.0010756000185139225,0.0010756000185139225
mi,3,20,selu,1.0,0.0011637656942256047,0.0011637656942256047
rf,5,40,tanh,1.0,0.0012043393442653372,0.0012043393442653372
mi,10,60,relu,1.0,0.001204398017587538,0.001204398017587538
manual,3,20,relu,1.0,0.0012289595098919914,0.0012289595098919914
rf,10,10,selu,1.0,0.0013255989404641344,0.0013255989404641344
rf,5,10,tanh,1.0,0.001334043242248173,0.001334043242248173
mi,10,10,relu,1.0,0.0013841890257098033,0.0013841890257098033
corr,10,60,selu,1.0,0.0014474810093887402,0.0014474810093887402
corr,10,60,relu,1.0,0.00153570084438992,0.00153570084438992
corr,5,40,tanh,1.0,0.0015751027742154644,0.0015751027742154644
rf,5,10,selu,1.0,0.0015898037461810066,0.0015898037461810066
mi,5,40,selu,1.0,0.0016463066211216404,0.0016463066211216404
mi,10,10,tanh,1.0,0.001719190483701949,0.001719190483701949
mi,3,40,tanh,1.0,0.00177058358604687,0.00177058358604687
corr,3,60,relu,1.0,0.0019410295870401217,0.0019410295870401217
corr,10,10,selu,1.0,0.001958743413699393,0.001958743413699393
mi,5,40,relu,1.0,0.0019640384481973694,0.0019640384481973694
mi,10,40,selu,1.0,0.0019995537812136366,0.0019995537812136366
corr,10,60,tanh,1.0,0.0020033840781323864,0.0020033840781323864
corr,5,20,selu,1.0,0.0020185003748409702,0.0020185003748409702
rf,3,60,selu,1.0,0.0020218546495087697,0.0020218546495087697
rf,10,20,tanh,1.0,0.0021461975346099837,0.0021461975346099837
mi,5,60,selu,1.0,0.0022080540300593032,0.0022080540300593032
rf,10,60,tanh,1.0,0.002210346393265228,0.002210346393265228
corr,5,60,tanh,1.0,0.002233496802371393,0.002233496802371393
rf,10,60,selu,1.0,0.00229843661582696,0.00229843661582696
rf,10,20,relu,1.0,0.0023071152907576664,0.0023071152907576664
mi,10,20,tanh,1.0,0.0023706123400260015,0.0023706123400260015
corr,5,60,selu,1.0,0.0023909284580512224,0.0023909284580512224
corr,10,20,relu,1.0,0.002395820724639508,0.002395820724639508
rf,5,20,relu,1.0,0.002409289133363801,0.002409289133363801
mi,10,20,relu,1.0,0.0024144377464907496,0.0024144377464907496
rf,3,10,tanh,1.0,0.002415389834648396,0.002415389834648396
corr,3,10,tanh,1.0,0.002435967536432271,0.002435967536432271
corr,3,40,selu,1.0,0.0024856760072069495,0.0024856760072069495
manual,3,10,selu,1.0,0.002517241432367756,0.002517241432367756
corr,3,60,tanh,1.0,0.0025598194690175102,0.0025598194690175102
corr,10,10,relu,1.0,0.0025848837256561286,0.0025848837256561286
rf,10,40,tanh,1.0,0.0033539498464889572,0.0033539498464889572
mi,10,60,selu,1.0,0.003976184619379763,0.003976184619379763
corr,3,40,relu,1.0,0.011865424202544217,0.011865424202544217
manual,3,60,relu,0.0,0.002672329480272184,0.002672329480272184
rf,5,40,selu,0.0,0.0027002330251051365,0.0027002330251051365
manual,3,60,tanh,0.0,0.002707014828781995,0.002707014828781995
corr,3,10,relu,0.0,0.0027437068936777553,0.0027437068936777553
