fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
rf,3,60,tanh,1.0,0.00012776986821116942,0.00012776986821116942
corr,3,10,selu,1.0,0.00019553410695372087,0.00019553410695372087
mi,3,20,relu,1.0,0.0003253276006740524,0.0003253276006740524
corr,3,10,relu,1.0,0.00047838580919923324,0.00047838580919923324
rf,10,10,relu,1.0,0.000601465952261071,0.000601465952261071
rf,10,20,selu,1.0,0.000696640323237796,0.000696640323237796
manual,3,20,relu,1.0,0.0007603030173617409,0.0007603030173617409
mi,10,20,relu,1.0,0.0009028773276644753,0.0009028773276644753
mi,5,20,selu,1.0,0.0009449982537466095,0.0009449982537466095
rf,10,60,relu,1.0,0.0010244354127484367,0.0010244354127484367
rf,3,20,relu,1.0,0.0011294355137783096,0.0011294355137783096
corr,5,40,tanh,1.0,0.001237503391368966,0.001237503391368966
mi,10,20,selu,1.0,0.0012409955741328194,0.0012409955741328194
corr,3,20,selu,1.0,0.001738160987063031,0.001738160987063031
corr,5,10,relu,1.0,0.001769384230808635,0.001769384230808635
rf,3,40,tanh,1.0,0.0018715450061994598,0.0018715450061994598
rf,3,10,selu,1.0,0.0018748223303395317,0.0018748223303395317
corr,5,10,selu,1.0,0.00234052245630445,0.00234052245630445
manual,3,20,tanh,1.0,0.0024803624035281135,0.0024803624035281135
corr,3,20,tanh,1.0,0.0025244114442306564,0.0025244114442306564
mi,5,40,selu,1.0,0.002535523519529681,0.002535523519529681
corr,5,60,tanh,1.0,0.002540377572788577,0.002540377572788577
rf,5,40,tanh,1.0,0.0025711521959441708,0.0025711521959441708
corr,10,20,tanh,1.0,0.0025725072702902363,0.0025725072702902363
rf,10,10,selu,1.0,0.002619881975786109,0.002619881975786109
manual,3,40,selu,1.0,0.002723521225764136,0.002723521225764136
rf,3,60,relu,1.0,0.0028784895768898533,0.0028784895768898533
mi,5,10,selu,1.0,0.0028791182196277187,0.0028791182196277187
manual,3,10,relu,1.0,0.0029138225583869026,0.0029138225583869026
corr,10,10,tanh,1.0,0.0029680287918585346,0.0029680287918585346
rf,10,20,tanh,1.0,0.003195313409580569,0.003195313409580569
